step,accuracy,correct,total,checkpoint
0,0.379,379,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-0
100,0.363,363,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-100
200,0.368,368,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-200
300,0.371,371,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-300
400,0.37,370,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-400
500,0.381,381,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-500
600,0.394,394,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-600
700,0.412,412,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-700
800,0.397,397,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-800
900,0.402,402,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-900
1000,0.429,429,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-1000
1200,0.437,437,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-1200
1400,0.493,493,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-1400
1500,0.484,484,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-1500
1600,0.55,550,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-1600
1800,0.537,537,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-1800
2000,0.553,553,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-2000
2200,0.564,564,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-2200
2400,0.591,591,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-2400
2500,0.593,593,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-2500
2600,0.578,578,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-2600
2800,0.591,591,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-2800
3000,0.616,616,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-3000
3200,0.572,572,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-3200
3400,0.619,619,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-3400
3500,0.606,606,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-3500
3600,0.617,617,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-3600
3800,0.625,625,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-3800
4000,0.625,625,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-4000
4200,0.614,614,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-4200
4400,0.632,632,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-4400
4500,0.634,634,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-4500
4600,0.636,636,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-4600
4800,0.613,613,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-4800
5000,0.628,628,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-5000
5200,0.632,632,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-5200
5400,0.644,644,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-5400
5600,0.638,638,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-5600
5800,0.647,647,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-5800
6000,0.636,636,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-6000
6200,0.651,651,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-6200
6400,0.641,641,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-6400
6600,0.641,641,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-6600
6800,0.647,647,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-6800
7000,0.639,639,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-7000
7200,0.64,640,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-7200
7400,0.652,652,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-7400
7600,0.646,646,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-7600
7800,0.643,643,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-7800
8000,0.652,652,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-8000
8200,0.643,643,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-8200
8400,0.649,649,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-8400
8600,0.65,650,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-8600
8800,0.63,630,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-8800
9000,0.644,644,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-9000
9200,0.648,648,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-9200
9400,0.646,646,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-9400
9600,0.651,651,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-9600
9800,0.648,648,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-9800
10000,0.644,644,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-10000
