step,accuracy,correct,total,checkpoint
0,0.3826266804550155,370,967,checkpoints/rule_A+P/rule_A+P/checkpoint-0
100,0.4126163391933816,399,967,checkpoints/rule_A+P/rule_A+P/checkpoint-100
200,0.4012409513960703,388,967,checkpoints/rule_A+P/rule_A+P/checkpoint-200
300,0.38883143743536713,376,967,checkpoints/rule_A+P/rule_A+P/checkpoint-300
400,0.40020682523267836,387,967,checkpoints/rule_A+P/rule_A+P/checkpoint-400
500,0.40330920372285417,390,967,checkpoints/rule_A+P/rule_A+P/checkpoint-500
600,0.39503619441571874,382,967,checkpoints/rule_A+P/rule_A+P/checkpoint-600
700,0.4239917269906929,410,967,checkpoints/rule_A+P/rule_A+P/checkpoint-700
800,0.41778697001034126,404,967,checkpoints/rule_A+P/rule_A+P/checkpoint-800
900,0.3940020682523268,381,967,checkpoints/rule_A+P/rule_A+P/checkpoint-900
1000,0.41778697001034126,404,967,checkpoints/rule_A+P/rule_A+P/checkpoint-1000
1200,0.46328852119958636,448,967,checkpoints/rule_A+P/rule_A+P/checkpoint-1200
1400,0.37745604963805585,365,967,checkpoints/rule_A+P/rule_A+P/checkpoint-1400
1500,0.4281282316442606,414,967,checkpoints/rule_A+P/rule_A+P/checkpoint-1500
1600,0.41468459152016546,401,967,checkpoints/rule_A+P/rule_A+P/checkpoint-1600
1800,0.4105480868665977,397,967,checkpoints/rule_A+P/rule_A+P/checkpoint-1800
2000,0.4136504653567735,400,967,checkpoints/rule_A+P/rule_A+P/checkpoint-2000
2200,0.3877973112719752,375,967,checkpoints/rule_A+P/rule_A+P/checkpoint-2200
2400,0.40847983453981385,395,967,checkpoints/rule_A+P/rule_A+P/checkpoint-2400
2500,0.41778697001034126,404,967,checkpoints/rule_A+P/rule_A+P/checkpoint-2500
2600,0.40330920372285417,390,967,checkpoints/rule_A+P/rule_A+P/checkpoint-2600
2800,0.43743536711478803,423,967,checkpoints/rule_A+P/rule_A+P/checkpoint-2800
3000,0.40641158221303,393,967,checkpoints/rule_A+P/rule_A+P/checkpoint-3000
3200,0.3877973112719752,375,967,checkpoints/rule_A+P/rule_A+P/checkpoint-3200
3400,0.4239917269906929,410,967,checkpoints/rule_A+P/rule_A+P/checkpoint-3400
3500,0.4126163391933816,399,967,checkpoints/rule_A+P/rule_A+P/checkpoint-3500
3600,0.42088934850051707,407,967,checkpoints/rule_A+P/rule_A+P/checkpoint-3600
3800,0.4157187176835574,402,967,checkpoints/rule_A+P/rule_A+P/checkpoint-3800
4000,0.4157187176835574,402,967,checkpoints/rule_A+P/rule_A+P/checkpoint-4000
4200,0.4136504653567735,400,967,checkpoints/rule_A+P/rule_A+P/checkpoint-4200
4400,0.4250258531540848,411,967,checkpoints/rule_A+P/rule_A+P/checkpoint-4400
4500,0.4384694932781799,424,967,checkpoints/rule_A+P/rule_A+P/checkpoint-4500
4600,0.44260599793174765,428,967,checkpoints/rule_A+P/rule_A+P/checkpoint-4600
4800,0.4415718717683557,427,967,checkpoints/rule_A+P/rule_A+P/checkpoint-4800
5000,0.4239917269906929,410,967,checkpoints/rule_A+P/rule_A+P/checkpoint-5000
5200,0.4239917269906929,410,967,checkpoints/rule_A+P/rule_A+P/checkpoint-5200
5400,0.4270941054808687,413,967,checkpoints/rule_A+P/rule_A+P/checkpoint-5400
5600,0.43226473629782836,418,967,checkpoints/rule_A+P/rule_A+P/checkpoint-5600
5800,0.4364012409513961,422,967,checkpoints/rule_A+P/rule_A+P/checkpoint-5800
6000,0.42088934850051707,407,967,checkpoints/rule_A+P/rule_A+P/checkpoint-6000
6200,0.40847983453981385,395,967,checkpoints/rule_A+P/rule_A+P/checkpoint-6200
6400,0.4301964839710445,416,967,checkpoints/rule_A+P/rule_A+P/checkpoint-6400
6600,0.44881075491209926,434,967,checkpoints/rule_A+P/rule_A+P/checkpoint-6600
6800,0.43536711478800416,421,967,checkpoints/rule_A+P/rule_A+P/checkpoint-6800
7000,0.40641158221303,393,967,checkpoints/rule_A+P/rule_A+P/checkpoint-7000
7200,0.4281282316442606,414,967,checkpoints/rule_A+P/rule_A+P/checkpoint-7200
7400,0.4301964839710445,416,967,checkpoints/rule_A+P/rule_A+P/checkpoint-7400
7600,0.4436401240951396,429,967,checkpoints/rule_A+P/rule_A+P/checkpoint-7600
7800,0.4405377456049638,426,967,checkpoints/rule_A+P/rule_A+P/checkpoint-7800
8000,0.42295760082730094,409,967,checkpoints/rule_A+P/rule_A+P/checkpoint-8000
8200,0.4343329886246122,420,967,checkpoints/rule_A+P/rule_A+P/checkpoint-8200
8400,0.43536711478800416,421,967,checkpoints/rule_A+P/rule_A+P/checkpoint-8400
8600,0.43950361944157185,425,967,checkpoints/rule_A+P/rule_A+P/checkpoint-8600
8800,0.4281282316442606,414,967,checkpoints/rule_A+P/rule_A+P/checkpoint-8800
9000,0.41778697001034126,404,967,checkpoints/rule_A+P/rule_A+P/checkpoint-9000
9200,0.4384694932781799,424,967,checkpoints/rule_A+P/rule_A+P/checkpoint-9200
9400,0.4364012409513961,422,967,checkpoints/rule_A+P/rule_A+P/checkpoint-9400
9600,0.42916235780765255,415,967,checkpoints/rule_A+P/rule_A+P/checkpoint-9600
9800,0.4343329886246122,420,967,checkpoints/rule_A+P/rule_A+P/checkpoint-9800
10000,0.4312306101344364,417,967,checkpoints/rule_A+P/rule_A+P/checkpoint-10000
