step,accuracy,correct,total,checkpoint
0,0.3826266804550155,370,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-0
100,0.4043433298862461,391,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-100
200,0.41158221302998965,398,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-200
300,0.3960703205791106,383,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-300
400,0.38986556359875907,377,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-400
500,0.38055842812823165,368,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-500
600,0.39917269906928643,386,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-600
700,0.4105480868665977,397,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-700
800,0.41778697001034126,404,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-800
900,0.40020682523267836,387,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-900
1000,0.36814891416752843,356,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1000
1200,0.3929679420889349,380,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1200
1400,0.3784901758014478,366,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1400
1500,0.40020682523267836,387,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1500
1600,0.36918304033092036,357,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1600
1800,0.40227507755946224,389,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1800
2000,0.40537745604963804,392,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2000
2200,0.44777662874870733,433,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2200
2400,0.37228541882109617,360,967,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2400
