step,accuracy,correct,total,checkpoint
0,0.4105263157894737,39,95,checkpoints/rule_A_only/rule_A_only/checkpoint-0
100,0.3368421052631579,32,95,checkpoints/rule_A_only/rule_A_only/checkpoint-100
200,0.3684210526315789,35,95,checkpoints/rule_A_only/rule_A_only/checkpoint-200
300,0.35789473684210527,34,95,checkpoints/rule_A_only/rule_A_only/checkpoint-300
400,0.37894736842105264,36,95,checkpoints/rule_A_only/rule_A_only/checkpoint-400
500,0.3473684210526316,33,95,checkpoints/rule_A_only/rule_A_only/checkpoint-500
600,0.3684210526315789,35,95,checkpoints/rule_A_only/rule_A_only/checkpoint-600
700,0.35789473684210527,34,95,checkpoints/rule_A_only/rule_A_only/checkpoint-700
800,0.3684210526315789,35,95,checkpoints/rule_A_only/rule_A_only/checkpoint-800
900,0.37894736842105264,36,95,checkpoints/rule_A_only/rule_A_only/checkpoint-900
1000,0.3368421052631579,32,95,checkpoints/rule_A_only/rule_A_only/checkpoint-1000
1200,0.35789473684210527,34,95,checkpoints/rule_A_only/rule_A_only/checkpoint-1200
1400,0.3157894736842105,30,95,checkpoints/rule_A_only/rule_A_only/checkpoint-1400
1500,0.3368421052631579,32,95,checkpoints/rule_A_only/rule_A_only/checkpoint-1500
1600,0.3263157894736842,31,95,checkpoints/rule_A_only/rule_A_only/checkpoint-1600
1800,0.3473684210526316,33,95,checkpoints/rule_A_only/rule_A_only/checkpoint-1800
2000,0.35789473684210527,34,95,checkpoints/rule_A_only/rule_A_only/checkpoint-2000
2200,0.35789473684210527,34,95,checkpoints/rule_A_only/rule_A_only/checkpoint-2200
2400,0.35789473684210527,34,95,checkpoints/rule_A_only/rule_A_only/checkpoint-2400
2500,0.35789473684210527,34,95,checkpoints/rule_A_only/rule_A_only/checkpoint-2500
2600,0.35789473684210527,34,95,checkpoints/rule_A_only/rule_A_only/checkpoint-2600
2800,0.35789473684210527,34,95,checkpoints/rule_A_only/rule_A_only/checkpoint-2800
3000,0.3157894736842105,30,95,checkpoints/rule_A_only/rule_A_only/checkpoint-3000
3200,0.3473684210526316,33,95,checkpoints/rule_A_only/rule_A_only/checkpoint-3200
3400,0.4,38,95,checkpoints/rule_A_only/rule_A_only/checkpoint-3400
3500,0.3894736842105263,37,95,checkpoints/rule_A_only/rule_A_only/checkpoint-3500
3600,0.3473684210526316,33,95,checkpoints/rule_A_only/rule_A_only/checkpoint-3600
3800,0.37894736842105264,36,95,checkpoints/rule_A_only/rule_A_only/checkpoint-3800
4000,0.3368421052631579,32,95,checkpoints/rule_A_only/rule_A_only/checkpoint-4000
4200,0.3368421052631579,32,95,checkpoints/rule_A_only/rule_A_only/checkpoint-4200
4400,0.3368421052631579,32,95,checkpoints/rule_A_only/rule_A_only/checkpoint-4400
4500,0.42105263157894735,40,95,checkpoints/rule_A_only/rule_A_only/checkpoint-4500
4600,0.4,38,95,checkpoints/rule_A_only/rule_A_only/checkpoint-4600
4800,0.37894736842105264,36,95,checkpoints/rule_A_only/rule_A_only/checkpoint-4800
5000,0.43157894736842106,41,95,checkpoints/rule_A_only/rule_A_only/checkpoint-5000
5200,0.42105263157894735,40,95,checkpoints/rule_A_only/rule_A_only/checkpoint-5200
5400,0.4,38,95,checkpoints/rule_A_only/rule_A_only/checkpoint-5400
5600,0.3894736842105263,37,95,checkpoints/rule_A_only/rule_A_only/checkpoint-5600
5800,0.3684210526315789,35,95,checkpoints/rule_A_only/rule_A_only/checkpoint-5800
6000,0.4421052631578947,42,95,checkpoints/rule_A_only/rule_A_only/checkpoint-6000
6200,0.4105263157894737,39,95,checkpoints/rule_A_only/rule_A_only/checkpoint-6200
6400,0.35789473684210527,34,95,checkpoints/rule_A_only/rule_A_only/checkpoint-6400
6600,0.3684210526315789,35,95,checkpoints/rule_A_only/rule_A_only/checkpoint-6600
6800,0.35789473684210527,34,95,checkpoints/rule_A_only/rule_A_only/checkpoint-6800
7000,0.3894736842105263,37,95,checkpoints/rule_A_only/rule_A_only/checkpoint-7000
7200,0.43157894736842106,41,95,checkpoints/rule_A_only/rule_A_only/checkpoint-7200
7400,0.3894736842105263,37,95,checkpoints/rule_A_only/rule_A_only/checkpoint-7400
7600,0.37894736842105264,36,95,checkpoints/rule_A_only/rule_A_only/checkpoint-7600
7800,0.37894736842105264,36,95,checkpoints/rule_A_only/rule_A_only/checkpoint-7800
8000,0.3894736842105263,37,95,checkpoints/rule_A_only/rule_A_only/checkpoint-8000
8200,0.37894736842105264,36,95,checkpoints/rule_A_only/rule_A_only/checkpoint-8200
8400,0.35789473684210527,34,95,checkpoints/rule_A_only/rule_A_only/checkpoint-8400
8600,0.37894736842105264,36,95,checkpoints/rule_A_only/rule_A_only/checkpoint-8600
8800,0.4,38,95,checkpoints/rule_A_only/rule_A_only/checkpoint-8800
9000,0.4105263157894737,39,95,checkpoints/rule_A_only/rule_A_only/checkpoint-9000
9200,0.37894736842105264,36,95,checkpoints/rule_A_only/rule_A_only/checkpoint-9200
9400,0.3894736842105263,37,95,checkpoints/rule_A_only/rule_A_only/checkpoint-9400
9600,0.3894736842105263,37,95,checkpoints/rule_A_only/rule_A_only/checkpoint-9600
9800,0.3894736842105263,37,95,checkpoints/rule_A_only/rule_A_only/checkpoint-9800
10000,0.4105263157894737,39,95,checkpoints/rule_A_only/rule_A_only/checkpoint-10000
