step,accuracy,correct,total,checkpoint
0,0.4870734229576008,471,967,checkpoints/rule_full/rule_full/checkpoint-0
100,0.6277145811789038,607,967,checkpoints/rule_full/rule_full/checkpoint-100
200,0.610134436401241,590,967,checkpoints/rule_full/rule_full/checkpoint-200
300,0.5956566701137539,576,967,checkpoints/rule_full/rule_full/checkpoint-300
400,0.6008273009307136,581,967,checkpoints/rule_full/rule_full/checkpoint-400
500,0.5977249224405378,578,967,checkpoints/rule_full/rule_full/checkpoint-500
600,0.6184074457083765,598,967,checkpoints/rule_full/rule_full/checkpoint-600
700,0.6059979317476732,586,967,checkpoints/rule_full/rule_full/checkpoint-700
800,0.6308169596690796,610,967,checkpoints/rule_full/rule_full/checkpoint-800
900,0.6463288521199586,625,967,checkpoints/rule_full/rule_full/checkpoint-900
1000,0.640124095139607,619,967,checkpoints/rule_full/rule_full/checkpoint-1000
1200,0.6483971044467425,627,967,checkpoints/rule_full/rule_full/checkpoint-1200
1400,0.6432264736297828,622,967,checkpoints/rule_full/rule_full/checkpoint-1400
1500,0.6070320579110652,587,967,checkpoints/rule_full/rule_full/checkpoint-1500
1600,0.6742502585315409,652,967,checkpoints/rule_full/rule_full/checkpoint-1600
1800,0.6018614270941055,582,967,checkpoints/rule_full/rule_full/checkpoint-1800
2000,0.6184074457083765,598,967,checkpoints/rule_full/rule_full/checkpoint-2000
2200,0.6670113753877973,645,967,checkpoints/rule_full/rule_full/checkpoint-2200
2400,0.6380558428128231,617,967,checkpoints/rule_full/rule_full/checkpoint-2400
2500,0.6225439503619442,602,967,checkpoints/rule_full/rule_full/checkpoint-2500
2600,0.6597724922440538,638,967,checkpoints/rule_full/rule_full/checkpoint-2600
2800,0.6577042399172699,636,967,checkpoints/rule_full/rule_full/checkpoint-2800
3000,0.6649431230610134,643,967,checkpoints/rule_full/rule_full/checkpoint-3000
3200,0.6111685625646329,591,967,checkpoints/rule_full/rule_full/checkpoint-3200
3400,0.6463288521199586,625,967,checkpoints/rule_full/rule_full/checkpoint-3400
3500,0.6514994829369183,630,967,checkpoints/rule_full/rule_full/checkpoint-3500
3600,0.687693898655636,665,967,checkpoints/rule_full/rule_full/checkpoint-3600
3800,0.6473629782833505,626,967,checkpoints/rule_full/rule_full/checkpoint-3800
4000,0.6525336091003102,631,967,checkpoints/rule_full/rule_full/checkpoint-4000
4200,0.6597724922440538,638,967,checkpoints/rule_full/rule_full/checkpoint-4200
4400,0.6680455015511892,646,967,checkpoints/rule_full/rule_full/checkpoint-4400
4500,0.6773526370217167,655,967,checkpoints/rule_full/rule_full/checkpoint-4500
4600,0.6659772492244054,644,967,checkpoints/rule_full/rule_full/checkpoint-4600
4800,0.6835573940020683,661,967,checkpoints/rule_full/rule_full/checkpoint-4800
5000,0.687693898655636,665,967,checkpoints/rule_full/rule_full/checkpoint-5000
5200,0.6825232678386763,660,967,checkpoints/rule_full/rule_full/checkpoint-5200
5400,0.6742502585315409,652,967,checkpoints/rule_full/rule_full/checkpoint-5400
5600,0.6535677352637022,632,967,checkpoints/rule_full/rule_full/checkpoint-5600
5800,0.6318510858324715,611,967,checkpoints/rule_full/rule_full/checkpoint-5800
6000,0.688728024819028,666,967,checkpoints/rule_full/rule_full/checkpoint-6000
6200,0.6701137538779731,648,967,checkpoints/rule_full/rule_full/checkpoint-6200
6400,0.6483971044467425,627,967,checkpoints/rule_full/rule_full/checkpoint-6400
6600,0.671147880041365,649,967,checkpoints/rule_full/rule_full/checkpoint-6600
6800,0.6649431230610134,643,967,checkpoints/rule_full/rule_full/checkpoint-6800
7000,0.6421923474663909,621,967,checkpoints/rule_full/rule_full/checkpoint-7000
7200,0.687693898655636,665,967,checkpoints/rule_full/rule_full/checkpoint-7200
7400,0.6732161323681489,651,967,checkpoints/rule_full/rule_full/checkpoint-7400
7600,0.655635987590486,634,967,checkpoints/rule_full/rule_full/checkpoint-7600
7800,0.6587383660806618,637,967,checkpoints/rule_full/rule_full/checkpoint-7800
8000,0.6618407445708376,640,967,checkpoints/rule_full/rule_full/checkpoint-8000
8200,0.6608066184074457,639,967,checkpoints/rule_full/rule_full/checkpoint-8200
8400,0.6659772492244054,644,967,checkpoints/rule_full/rule_full/checkpoint-8400
8600,0.6690796277145812,647,967,checkpoints/rule_full/rule_full/checkpoint-8600
8800,0.6628748707342296,641,967,checkpoints/rule_full/rule_full/checkpoint-8800
9000,0.6577042399172699,636,967,checkpoints/rule_full/rule_full/checkpoint-9000
9200,0.6659772492244054,644,967,checkpoints/rule_full/rule_full/checkpoint-9200
9400,0.6639089968976215,642,967,checkpoints/rule_full/rule_full/checkpoint-9400
9600,0.6680455015511892,646,967,checkpoints/rule_full/rule_full/checkpoint-9600
9800,0.6670113753877973,645,967,checkpoints/rule_full/rule_full/checkpoint-9800
10000,0.6680455015511892,646,967,checkpoints/rule_full/rule_full/checkpoint-10000
