step,accuracy,correct,total,checkpoint
0,0.495,495,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-0
100,0.591,591,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-100
200,0.595,595,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-200
300,0.566,566,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-300
400,0.58,580,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-400
500,0.543,543,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-500
600,0.544,544,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-600
700,0.596,596,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-700
800,0.543,543,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-800
900,0.529,529,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-900
1000,0.591,591,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1000
1200,0.64,640,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1200
1400,0.618,618,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1400
1500,0.623,623,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1500
1600,0.653,653,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1600
1800,0.665,665,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1800
2000,0.656,656,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2000
2200,0.667,667,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2200
2400,0.533,533,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2400
2500,0.608,608,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2500
2600,0.612,612,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2600
