step,accuracy,correct,total,checkpoint
0,0.5850340136054422,430,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-0
100,0.42993197278911566,316,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-100
200,0.5006802721088436,368,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-200
300,0.508843537414966,374,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-300
400,0.48707482993197276,358,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-400
500,0.3673469387755102,270,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-500
600,0.41904761904761906,308,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-600
700,0.46122448979591835,339,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-700
800,0.45170068027210886,332,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-800
900,0.5251700680272109,386,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-900
1000,0.47619047619047616,350,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1000
1200,0.5510204081632653,405,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1200
1400,0.545578231292517,401,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1400
1500,0.6666666666666666,490,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1500
1600,0.6517006802721088,479,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1600
1800,0.6707482993197279,493,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1800
2000,0.4666666666666667,343,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2000
2200,0.7074829931972789,520,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2200
2400,0.6693877551020408,492,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2400
2500,0.6340136054421769,466,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2500
2600,0.7034013605442176,517,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2600
2800,0.6816326530612244,501,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2800
3000,0.5333333333333333,392,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3000
3200,0.6408163265306123,471,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3200
3400,0.7183673469387755,528,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3400
3500,0.7278911564625851,535,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3500
3600,0.6190476190476191,455,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3600
3800,0.745578231292517,548,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3800
4000,0.7374149659863946,542,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-4000
4200,0.7047619047619048,518,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-4200
4400,0.7292517006802721,536,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-4400
4500,0.7387755102040816,543,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-4500
4600,0.7578231292517007,557,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-4600
4800,0.708843537414966,521,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-4800
5000,0.7496598639455783,551,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-5000
5200,0.7251700680272108,533,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-5200
5400,0.7510204081632653,552,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-5400
5600,0.7183673469387755,528,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-5600
5800,0.7523809523809524,553,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-5800
6000,0.7782312925170068,572,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-6000
6200,0.6653061224489796,489,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-6200
6400,0.6571428571428571,483,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-6400
6600,0.7714285714285715,567,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-6600
6800,0.7537414965986394,554,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-6800
7000,0.763265306122449,561,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-7000
7200,0.7551020408163265,555,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-7200
7400,0.7047619047619048,518,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-7400
7600,0.7687074829931972,565,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-7600
7800,0.7510204081632653,552,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-7800
8000,0.763265306122449,561,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-8000
8200,0.7646258503401361,562,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-8200
8400,0.7319727891156462,538,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-8400
8600,0.746938775510204,549,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-8600
8800,0.7564625850340136,556,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-8800
9000,0.7428571428571429,546,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-9000
9200,0.7619047619047619,560,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-9200
9400,0.7700680272108843,566,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-9400
9600,0.746938775510204,549,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-9600
9800,0.745578231292517,548,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-9800
10000,0.7510204081632653,552,735,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-10000
