step,accuracy,correct,total,checkpoint
0,0.5904761904761905,434,735,checkpoints/rule_A+P/rule_A+P/checkpoint-0
100,0.46802721088435373,344,735,checkpoints/rule_A+P/rule_A+P/checkpoint-100
200,0.48435374149659866,356,735,checkpoints/rule_A+P/rule_A+P/checkpoint-200
300,0.5156462585034014,379,735,checkpoints/rule_A+P/rule_A+P/checkpoint-300
400,0.46530612244897956,342,735,checkpoints/rule_A+P/rule_A+P/checkpoint-400
500,0.4965986394557823,365,735,checkpoints/rule_A+P/rule_A+P/checkpoint-500
600,0.5714285714285714,420,735,checkpoints/rule_A+P/rule_A+P/checkpoint-600
700,0.5414965986394558,398,735,checkpoints/rule_A+P/rule_A+P/checkpoint-700
800,0.6530612244897959,480,735,checkpoints/rule_A+P/rule_A+P/checkpoint-800
900,0.6829931972789116,502,735,checkpoints/rule_A+P/rule_A+P/checkpoint-900
1000,0.5850340136054422,430,735,checkpoints/rule_A+P/rule_A+P/checkpoint-1000
1200,0.6217687074829932,457,735,checkpoints/rule_A+P/rule_A+P/checkpoint-1200
1400,0.5401360544217687,397,735,checkpoints/rule_A+P/rule_A+P/checkpoint-1400
1500,0.6408163265306123,471,735,checkpoints/rule_A+P/rule_A+P/checkpoint-1500
1600,0.7360544217687075,541,735,checkpoints/rule_A+P/rule_A+P/checkpoint-1600
1800,0.710204081632653,522,735,checkpoints/rule_A+P/rule_A+P/checkpoint-1800
2000,0.710204081632653,522,735,checkpoints/rule_A+P/rule_A+P/checkpoint-2000
2200,0.7306122448979592,537,735,checkpoints/rule_A+P/rule_A+P/checkpoint-2200
2400,0.6653061224489796,489,735,checkpoints/rule_A+P/rule_A+P/checkpoint-2400
2500,0.6598639455782312,485,735,checkpoints/rule_A+P/rule_A+P/checkpoint-2500
2600,0.7360544217687075,541,735,checkpoints/rule_A+P/rule_A+P/checkpoint-2600
2800,0.6816326530612244,501,735,checkpoints/rule_A+P/rule_A+P/checkpoint-2800
3000,0.6829931972789116,502,735,checkpoints/rule_A+P/rule_A+P/checkpoint-3000
3200,0.6503401360544218,478,735,checkpoints/rule_A+P/rule_A+P/checkpoint-3200
3400,0.6816326530612244,501,735,checkpoints/rule_A+P/rule_A+P/checkpoint-3400
3500,0.6530612244897959,480,735,checkpoints/rule_A+P/rule_A+P/checkpoint-3500
3600,0.6761904761904762,497,735,checkpoints/rule_A+P/rule_A+P/checkpoint-3600
3800,0.638095238095238,469,735,checkpoints/rule_A+P/rule_A+P/checkpoint-3800
4000,0.6408163265306123,471,735,checkpoints/rule_A+P/rule_A+P/checkpoint-4000
4200,0.6843537414965987,503,735,checkpoints/rule_A+P/rule_A+P/checkpoint-4200
4400,0.6829931972789116,502,735,checkpoints/rule_A+P/rule_A+P/checkpoint-4400
4500,0.5836734693877551,429,735,checkpoints/rule_A+P/rule_A+P/checkpoint-4500
4600,0.6190476190476191,455,735,checkpoints/rule_A+P/rule_A+P/checkpoint-4600
4800,0.6979591836734694,513,735,checkpoints/rule_A+P/rule_A+P/checkpoint-4800
5000,0.7278911564625851,535,735,checkpoints/rule_A+P/rule_A+P/checkpoint-5000
5200,0.6761904761904762,497,735,checkpoints/rule_A+P/rule_A+P/checkpoint-5200
5400,0.6748299319727891,496,735,checkpoints/rule_A+P/rule_A+P/checkpoint-5400
5600,0.654421768707483,481,735,checkpoints/rule_A+P/rule_A+P/checkpoint-5600
5800,0.6884353741496598,506,735,checkpoints/rule_A+P/rule_A+P/checkpoint-5800
6000,0.7360544217687075,541,735,checkpoints/rule_A+P/rule_A+P/checkpoint-6000
6200,0.746938775510204,549,735,checkpoints/rule_A+P/rule_A+P/checkpoint-6200
6400,0.6938775510204082,510,735,checkpoints/rule_A+P/rule_A+P/checkpoint-6400
6600,0.6571428571428571,483,735,checkpoints/rule_A+P/rule_A+P/checkpoint-6600
6800,0.6190476190476191,455,735,checkpoints/rule_A+P/rule_A+P/checkpoint-6800
7000,0.7074829931972789,520,735,checkpoints/rule_A+P/rule_A+P/checkpoint-7000
7200,0.6857142857142857,504,735,checkpoints/rule_A+P/rule_A+P/checkpoint-7200
7400,0.6081632653061224,447,735,checkpoints/rule_A+P/rule_A+P/checkpoint-7400
7600,0.6312925170068027,464,735,checkpoints/rule_A+P/rule_A+P/checkpoint-7600
7800,0.6965986394557823,512,735,checkpoints/rule_A+P/rule_A+P/checkpoint-7800
8000,0.6925170068027211,509,735,checkpoints/rule_A+P/rule_A+P/checkpoint-8000
8200,0.6993197278911565,514,735,checkpoints/rule_A+P/rule_A+P/checkpoint-8200
8400,0.6789115646258503,499,735,checkpoints/rule_A+P/rule_A+P/checkpoint-8400
8600,0.6925170068027211,509,735,checkpoints/rule_A+P/rule_A+P/checkpoint-8600
8800,0.6979591836734694,513,735,checkpoints/rule_A+P/rule_A+P/checkpoint-8800
9000,0.6965986394557823,512,735,checkpoints/rule_A+P/rule_A+P/checkpoint-9000
9200,0.6707482993197279,493,735,checkpoints/rule_A+P/rule_A+P/checkpoint-9200
9400,0.6816326530612244,501,735,checkpoints/rule_A+P/rule_A+P/checkpoint-9400
9600,0.6761904761904762,497,735,checkpoints/rule_A+P/rule_A+P/checkpoint-9600
9800,0.6870748299319728,505,735,checkpoints/rule_A+P/rule_A+P/checkpoint-9800
10000,0.6802721088435374,500,735,checkpoints/rule_A+P/rule_A+P/checkpoint-10000
