step,accuracy,correct,total,checkpoint
0,0.5755102040816327,423,735,checkpoints/rule_full/rule_full/checkpoint-0
100,0.43945578231292515,323,735,checkpoints/rule_full/rule_full/checkpoint-100
200,0.48027210884353744,353,735,checkpoints/rule_full/rule_full/checkpoint-200
300,0.5238095238095238,385,735,checkpoints/rule_full/rule_full/checkpoint-300
400,0.47210884353741495,347,735,checkpoints/rule_full/rule_full/checkpoint-400
500,0.4748299319727891,349,735,checkpoints/rule_full/rule_full/checkpoint-500
600,0.48027210884353744,353,735,checkpoints/rule_full/rule_full/checkpoint-600
700,0.4775510204081633,351,735,checkpoints/rule_full/rule_full/checkpoint-700
800,0.508843537414966,374,735,checkpoints/rule_full/rule_full/checkpoint-800
900,0.4993197278911565,367,735,checkpoints/rule_full/rule_full/checkpoint-900
1000,0.4925170068027211,362,735,checkpoints/rule_full/rule_full/checkpoint-1000
1200,0.7278911564625851,535,735,checkpoints/rule_full/rule_full/checkpoint-1200
1400,0.636734693877551,468,735,checkpoints/rule_full/rule_full/checkpoint-1400
1500,0.5904761904761905,434,735,checkpoints/rule_full/rule_full/checkpoint-1500
1600,0.6503401360544218,478,735,checkpoints/rule_full/rule_full/checkpoint-1600
1800,0.4965986394557823,365,735,checkpoints/rule_full/rule_full/checkpoint-1800
2000,0.7183673469387755,528,735,checkpoints/rule_full/rule_full/checkpoint-2000
2200,0.7401360544217687,544,735,checkpoints/rule_full/rule_full/checkpoint-2200
2400,0.7551020408163265,555,735,checkpoints/rule_full/rule_full/checkpoint-2400
2500,0.5972789115646259,439,735,checkpoints/rule_full/rule_full/checkpoint-2500
2600,0.6217687074829932,457,735,checkpoints/rule_full/rule_full/checkpoint-2600
2800,0.6040816326530613,444,735,checkpoints/rule_full/rule_full/checkpoint-2800
3000,0.7061224489795919,519,735,checkpoints/rule_full/rule_full/checkpoint-3000
3200,0.7034013605442176,517,735,checkpoints/rule_full/rule_full/checkpoint-3200
3400,0.6829931972789116,502,735,checkpoints/rule_full/rule_full/checkpoint-3400
3500,0.6530612244897959,480,735,checkpoints/rule_full/rule_full/checkpoint-3500
3600,0.5673469387755102,417,735,checkpoints/rule_full/rule_full/checkpoint-3600
3800,0.6530612244897959,480,735,checkpoints/rule_full/rule_full/checkpoint-3800
4000,0.5170068027210885,380,735,checkpoints/rule_full/rule_full/checkpoint-4000
4200,0.6408163265306123,471,735,checkpoints/rule_full/rule_full/checkpoint-4200
4400,0.5768707482993197,424,735,checkpoints/rule_full/rule_full/checkpoint-4400
4500,0.6965986394557823,512,735,checkpoints/rule_full/rule_full/checkpoint-4500
4600,0.6231292517006802,458,735,checkpoints/rule_full/rule_full/checkpoint-4600
4800,0.6653061224489796,489,735,checkpoints/rule_full/rule_full/checkpoint-4800
5000,0.7346938775510204,540,735,checkpoints/rule_full/rule_full/checkpoint-5000
5200,0.5727891156462585,421,735,checkpoints/rule_full/rule_full/checkpoint-5200
5400,0.6965986394557823,512,735,checkpoints/rule_full/rule_full/checkpoint-5400
5600,0.6312925170068027,464,735,checkpoints/rule_full/rule_full/checkpoint-5600
5800,0.5931972789115646,436,735,checkpoints/rule_full/rule_full/checkpoint-5800
6000,0.6557823129251701,482,735,checkpoints/rule_full/rule_full/checkpoint-6000
6200,0.673469387755102,495,735,checkpoints/rule_full/rule_full/checkpoint-6200
6400,0.6408163265306123,471,735,checkpoints/rule_full/rule_full/checkpoint-6400
6600,0.6693877551020408,492,735,checkpoints/rule_full/rule_full/checkpoint-6600
6800,0.6612244897959184,486,735,checkpoints/rule_full/rule_full/checkpoint-6800
7000,0.6204081632653061,456,735,checkpoints/rule_full/rule_full/checkpoint-7000
7200,0.6585034013605442,484,735,checkpoints/rule_full/rule_full/checkpoint-7200
7400,0.6775510204081633,498,735,checkpoints/rule_full/rule_full/checkpoint-7400
7600,0.7020408163265306,516,735,checkpoints/rule_full/rule_full/checkpoint-7600
7800,0.7034013605442176,517,735,checkpoints/rule_full/rule_full/checkpoint-7800
8000,0.6748299319727891,496,735,checkpoints/rule_full/rule_full/checkpoint-8000
8200,0.6829931972789116,502,735,checkpoints/rule_full/rule_full/checkpoint-8200
8400,0.6489795918367347,477,735,checkpoints/rule_full/rule_full/checkpoint-8400
8600,0.6816326530612244,501,735,checkpoints/rule_full/rule_full/checkpoint-8600
8800,0.6829931972789116,502,735,checkpoints/rule_full/rule_full/checkpoint-8800
9000,0.6761904761904762,497,735,checkpoints/rule_full/rule_full/checkpoint-9000
9200,0.673469387755102,495,735,checkpoints/rule_full/rule_full/checkpoint-9200
9400,0.708843537414966,521,735,checkpoints/rule_full/rule_full/checkpoint-9400
9600,0.6979591836734694,513,735,checkpoints/rule_full/rule_full/checkpoint-9600
9800,0.6843537414965987,503,735,checkpoints/rule_full/rule_full/checkpoint-9800
10000,0.6965986394557823,512,735,checkpoints/rule_full/rule_full/checkpoint-10000
