step,accuracy,correct,total,checkpoint
0,0.585,585,1000,checkpoints/rule_none/rule_none/checkpoint-0
100,0.503,503,1000,checkpoints/rule_none/rule_none/checkpoint-100
200,0.494,494,1000,checkpoints/rule_none/rule_none/checkpoint-200
300,0.521,521,1000,checkpoints/rule_none/rule_none/checkpoint-300
400,0.51,510,1000,checkpoints/rule_none/rule_none/checkpoint-400
500,0.564,564,1000,checkpoints/rule_none/rule_none/checkpoint-500
600,0.499,499,1000,checkpoints/rule_none/rule_none/checkpoint-600
700,0.559,559,1000,checkpoints/rule_none/rule_none/checkpoint-700
800,0.54,540,1000,checkpoints/rule_none/rule_none/checkpoint-800
900,0.561,561,1000,checkpoints/rule_none/rule_none/checkpoint-900
1000,0.541,541,1000,checkpoints/rule_none/rule_none/checkpoint-1000
1200,0.577,577,1000,checkpoints/rule_none/rule_none/checkpoint-1200
1400,0.592,592,1000,checkpoints/rule_none/rule_none/checkpoint-1400
1500,0.557,557,1000,checkpoints/rule_none/rule_none/checkpoint-1500
1600,0.58,580,1000,checkpoints/rule_none/rule_none/checkpoint-1600
1800,0.564,564,1000,checkpoints/rule_none/rule_none/checkpoint-1800
2000,0.545,545,1000,checkpoints/rule_none/rule_none/checkpoint-2000
2200,0.547,547,1000,checkpoints/rule_none/rule_none/checkpoint-2200
2400,0.562,562,1000,checkpoints/rule_none/rule_none/checkpoint-2400
2500,0.599,599,1000,checkpoints/rule_none/rule_none/checkpoint-2500
2600,0.558,558,1000,checkpoints/rule_none/rule_none/checkpoint-2600
2800,0.603,603,1000,checkpoints/rule_none/rule_none/checkpoint-2800
3000,0.584,584,1000,checkpoints/rule_none/rule_none/checkpoint-3000
3200,0.614,614,1000,checkpoints/rule_none/rule_none/checkpoint-3200
3400,0.627,627,1000,checkpoints/rule_none/rule_none/checkpoint-3400
3500,0.622,622,1000,checkpoints/rule_none/rule_none/checkpoint-3500
3600,0.627,627,1000,checkpoints/rule_none/rule_none/checkpoint-3600
3800,0.614,614,1000,checkpoints/rule_none/rule_none/checkpoint-3800
4000,0.636,636,1000,checkpoints/rule_none/rule_none/checkpoint-4000
4200,0.663,663,1000,checkpoints/rule_none/rule_none/checkpoint-4200
4400,0.668,668,1000,checkpoints/rule_none/rule_none/checkpoint-4400
4500,0.645,645,1000,checkpoints/rule_none/rule_none/checkpoint-4500
4600,0.698,698,1000,checkpoints/rule_none/rule_none/checkpoint-4600
4800,0.628,628,1000,checkpoints/rule_none/rule_none/checkpoint-4800
5000,0.666,666,1000,checkpoints/rule_none/rule_none/checkpoint-5000
5200,0.686,686,1000,checkpoints/rule_none/rule_none/checkpoint-5200
5400,0.653,653,1000,checkpoints/rule_none/rule_none/checkpoint-5400
5600,0.665,665,1000,checkpoints/rule_none/rule_none/checkpoint-5600
5800,0.672,672,1000,checkpoints/rule_none/rule_none/checkpoint-5800
6000,0.669,669,1000,checkpoints/rule_none/rule_none/checkpoint-6000
6200,0.665,665,1000,checkpoints/rule_none/rule_none/checkpoint-6200
6400,0.668,668,1000,checkpoints/rule_none/rule_none/checkpoint-6400
6600,0.655,655,1000,checkpoints/rule_none/rule_none/checkpoint-6600
6800,0.683,683,1000,checkpoints/rule_none/rule_none/checkpoint-6800
7000,0.684,684,1000,checkpoints/rule_none/rule_none/checkpoint-7000
7200,0.639,639,1000,checkpoints/rule_none/rule_none/checkpoint-7200
7400,0.671,671,1000,checkpoints/rule_none/rule_none/checkpoint-7400
7600,0.669,669,1000,checkpoints/rule_none/rule_none/checkpoint-7600
7800,0.671,671,1000,checkpoints/rule_none/rule_none/checkpoint-7800
8000,0.658,658,1000,checkpoints/rule_none/rule_none/checkpoint-8000
8200,0.653,653,1000,checkpoints/rule_none/rule_none/checkpoint-8200
8400,0.653,653,1000,checkpoints/rule_none/rule_none/checkpoint-8400
8600,0.68,680,1000,checkpoints/rule_none/rule_none/checkpoint-8600
8800,0.667,667,1000,checkpoints/rule_none/rule_none/checkpoint-8800
9000,0.645,645,1000,checkpoints/rule_none/rule_none/checkpoint-9000
9200,0.67,670,1000,checkpoints/rule_none/rule_none/checkpoint-9200
9400,0.658,658,1000,checkpoints/rule_none/rule_none/checkpoint-9400
9600,0.662,662,1000,checkpoints/rule_none/rule_none/checkpoint-9600
9800,0.662,662,1000,checkpoints/rule_none/rule_none/checkpoint-9800
10000,0.66,660,1000,checkpoints/rule_none/rule_none/checkpoint-10000
