step,accuracy,correct,total,checkpoint
0,0.521870286576169,346,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-0
100,0.5233785822021116,347,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-100
200,0.5701357466063348,378,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-200
300,0.6033182503770739,400,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-300
400,0.6123680241327301,406,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-400
500,0.6184012066365008,410,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-500
600,0.6214177978883861,412,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-600
700,0.6259426847662142,415,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-700
800,0.6229260935143288,413,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-800
900,0.6636500754147813,440,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-900
1000,0.6440422322775264,427,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1000
1200,0.6184012066365008,410,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1200
1400,0.6515837104072398,432,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1400
1500,0.6455505279034691,428,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1500
1600,0.6561085972850679,435,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1600
1800,0.6470588235294118,429,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1800
2000,0.6440422322775264,427,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2000
2200,0.6168929110105581,409,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2200
2400,0.6244343891402715,414,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2400
2500,0.6244343891402715,414,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2500
2600,0.6153846153846154,408,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2600
2800,0.6244343891402715,414,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2800
3000,0.6621417797888386,439,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3000
3200,0.6440422322775264,427,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3200
3400,0.6304675716440422,418,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3400
3500,0.6199095022624435,411,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3500
3600,0.6576168929110106,436,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3600
3800,0.6395173453996983,424,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3800
4000,0.6274509803921569,416,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-4000
4200,0.6395173453996983,424,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-4200
4400,0.6470588235294118,429,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-4400
4500,0.6123680241327301,406,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-4500
4600,0.6289592760180995,417,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-4600
4800,0.6485671191553545,430,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-4800
5000,0.6365007541478129,422,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-5000
5200,0.6289592760180995,417,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-5200
5400,0.6515837104072398,432,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-5400
5600,0.6138763197586727,407,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-5600
5800,0.669683257918552,444,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-5800
6000,0.6229260935143288,413,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-6000
6200,0.6244343891402715,414,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-6200
6400,0.6440422322775264,427,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-6400
6600,0.6244343891402715,414,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-6600
6800,0.6530920060331825,433,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-6800
7000,0.6425339366515838,426,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-7000
7200,0.6425339366515838,426,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-7200
7400,0.6229260935143288,413,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-7400
7600,0.665158371040724,441,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-7600
7800,0.6289592760180995,417,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-7800
8000,0.6530920060331825,433,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-8000
8200,0.6500754147812972,431,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-8200
8400,0.6440422322775264,427,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-8400
8600,0.6576168929110106,436,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-8600
8800,0.6395173453996983,424,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-8800
9000,0.6410256410256411,425,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-9000
9200,0.6425339366515838,426,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-9200
9400,0.6334841628959276,420,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-9400
9600,0.6470588235294118,429,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-9600
9800,0.6500754147812972,431,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-9800
10000,0.6500754147812972,431,663,checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-10000
