step,accuracy,correct,total,checkpoint
0,0.5248868778280543,348,663,checkpoints/rule_A+P/rule_A+P/checkpoint-0
100,0.5414781297134238,359,663,checkpoints/rule_A+P/rule_A+P/checkpoint-100
200,0.5882352941176471,390,663,checkpoints/rule_A+P/rule_A+P/checkpoint-200
300,0.5987933634992458,397,663,checkpoints/rule_A+P/rule_A+P/checkpoint-300
400,0.6093514328808446,404,663,checkpoints/rule_A+P/rule_A+P/checkpoint-400
500,0.6108597285067874,405,663,checkpoints/rule_A+P/rule_A+P/checkpoint-500
600,0.6440422322775264,427,663,checkpoints/rule_A+P/rule_A+P/checkpoint-600
700,0.6410256410256411,425,663,checkpoints/rule_A+P/rule_A+P/checkpoint-700
800,0.6395173453996983,424,663,checkpoints/rule_A+P/rule_A+P/checkpoint-800
900,0.6380090497737556,423,663,checkpoints/rule_A+P/rule_A+P/checkpoint-900
1000,0.6274509803921569,416,663,checkpoints/rule_A+P/rule_A+P/checkpoint-1000
1200,0.6440422322775264,427,663,checkpoints/rule_A+P/rule_A+P/checkpoint-1200
1400,0.6349924585218703,421,663,checkpoints/rule_A+P/rule_A+P/checkpoint-1400
1500,0.6515837104072398,432,663,checkpoints/rule_A+P/rule_A+P/checkpoint-1500
1600,0.6455505279034691,428,663,checkpoints/rule_A+P/rule_A+P/checkpoint-1600
1800,0.6425339366515838,426,663,checkpoints/rule_A+P/rule_A+P/checkpoint-1800
2000,0.6636500754147813,440,663,checkpoints/rule_A+P/rule_A+P/checkpoint-2000
2200,0.6636500754147813,440,663,checkpoints/rule_A+P/rule_A+P/checkpoint-2200
2400,0.6500754147812972,431,663,checkpoints/rule_A+P/rule_A+P/checkpoint-2400
2500,0.6576168929110106,436,663,checkpoints/rule_A+P/rule_A+P/checkpoint-2500
2600,0.6380090497737556,423,663,checkpoints/rule_A+P/rule_A+P/checkpoint-2600
2800,0.6591251885369532,437,663,checkpoints/rule_A+P/rule_A+P/checkpoint-2800
3000,0.6621417797888386,439,663,checkpoints/rule_A+P/rule_A+P/checkpoint-3000
3200,0.6621417797888386,439,663,checkpoints/rule_A+P/rule_A+P/checkpoint-3200
3400,0.6666666666666666,442,663,checkpoints/rule_A+P/rule_A+P/checkpoint-3400
3500,0.6726998491704375,446,663,checkpoints/rule_A+P/rule_A+P/checkpoint-3500
3600,0.6907993966817496,458,663,checkpoints/rule_A+P/rule_A+P/checkpoint-3600
3800,0.6636500754147813,440,663,checkpoints/rule_A+P/rule_A+P/checkpoint-3800
4000,0.6666666666666666,442,663,checkpoints/rule_A+P/rule_A+P/checkpoint-4000
4200,0.6621417797888386,439,663,checkpoints/rule_A+P/rule_A+P/checkpoint-4200
4400,0.6546003016591252,434,663,checkpoints/rule_A+P/rule_A+P/checkpoint-4400
4500,0.6802413273001509,451,663,checkpoints/rule_A+P/rule_A+P/checkpoint-4500
4600,0.665158371040724,441,663,checkpoints/rule_A+P/rule_A+P/checkpoint-4600
4800,0.6892911010558069,457,663,checkpoints/rule_A+P/rule_A+P/checkpoint-4800
5000,0.6817496229260935,452,663,checkpoints/rule_A+P/rule_A+P/checkpoint-5000
5200,0.7134238310708899,473,663,checkpoints/rule_A+P/rule_A+P/checkpoint-5200
5400,0.6742081447963801,447,663,checkpoints/rule_A+P/rule_A+P/checkpoint-5400
5600,0.6772247360482655,449,663,checkpoints/rule_A+P/rule_A+P/checkpoint-5600
5800,0.693815987933635,460,663,checkpoints/rule_A+P/rule_A+P/checkpoint-5800
6000,0.6877828054298643,456,663,checkpoints/rule_A+P/rule_A+P/checkpoint-6000
6200,0.6953242835595776,461,663,checkpoints/rule_A+P/rule_A+P/checkpoint-6200
6400,0.669683257918552,444,663,checkpoints/rule_A+P/rule_A+P/checkpoint-6400
6600,0.6892911010558069,457,663,checkpoints/rule_A+P/rule_A+P/checkpoint-6600
6800,0.6802413273001509,451,663,checkpoints/rule_A+P/rule_A+P/checkpoint-6800
7000,0.6636500754147813,440,663,checkpoints/rule_A+P/rule_A+P/checkpoint-7000
7200,0.6847662141779789,454,663,checkpoints/rule_A+P/rule_A+P/checkpoint-7200
7400,0.6742081447963801,447,663,checkpoints/rule_A+P/rule_A+P/checkpoint-7400
7600,0.6787330316742082,450,663,checkpoints/rule_A+P/rule_A+P/checkpoint-7600
7800,0.6892911010558069,457,663,checkpoints/rule_A+P/rule_A+P/checkpoint-7800
8000,0.6757164404223228,448,663,checkpoints/rule_A+P/rule_A+P/checkpoint-8000
8200,0.6892911010558069,457,663,checkpoints/rule_A+P/rule_A+P/checkpoint-8200
8400,0.6787330316742082,450,663,checkpoints/rule_A+P/rule_A+P/checkpoint-8400
8600,0.6862745098039216,455,663,checkpoints/rule_A+P/rule_A+P/checkpoint-8600
8800,0.6892911010558069,457,663,checkpoints/rule_A+P/rule_A+P/checkpoint-8800
9000,0.6802413273001509,451,663,checkpoints/rule_A+P/rule_A+P/checkpoint-9000
9200,0.6802413273001509,451,663,checkpoints/rule_A+P/rule_A+P/checkpoint-9200
9400,0.6847662141779789,454,663,checkpoints/rule_A+P/rule_A+P/checkpoint-9400
9600,0.6907993966817496,458,663,checkpoints/rule_A+P/rule_A+P/checkpoint-9600
9800,0.6953242835595776,461,663,checkpoints/rule_A+P/rule_A+P/checkpoint-9800
10000,0.6907993966817496,458,663,checkpoints/rule_A+P/rule_A+P/checkpoint-10000
