step,accuracy,correct,total,checkpoint
0,0.5248868778280543,348,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-0
100,0.5414781297134238,359,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-100
200,0.583710407239819,387,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-200
300,0.5972850678733032,396,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-300
400,0.6018099547511312,399,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-400
500,0.6168929110105581,409,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-500
600,0.6244343891402715,414,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-600
700,0.6274509803921569,416,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-700
800,0.6289592760180995,417,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-800
900,0.6274509803921569,416,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-900
1000,0.6259426847662142,415,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1000
1200,0.6289592760180995,417,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1200
1400,0.6395173453996983,424,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1400
1500,0.6470588235294118,429,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1500
1600,0.6425339366515838,426,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1600
1800,0.6259426847662142,415,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1800
2000,0.6440422322775264,427,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2000
2200,0.6546003016591252,434,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2200
2400,0.6636500754147813,440,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2400
2500,0.6485671191553545,430,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2500
2600,0.6470588235294118,429,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2600
2800,0.6395173453996983,424,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2800
3000,0.6591251885369532,437,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-3000
3200,0.6440422322775264,427,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-3200
3400,0.6711915535444947,445,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-3400
3500,0.6606334841628959,438,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-3500
3600,0.6500754147812972,431,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-3600
3800,0.6666666666666666,442,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-3800
4000,0.6681749622926093,443,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-4000
4200,0.6500754147812972,431,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-4200
4400,0.6636500754147813,440,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-4400
4500,0.6440422322775264,427,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-4500
4600,0.6726998491704375,446,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-4600
4800,0.6576168929110106,436,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-4800
5000,0.6591251885369532,437,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-5000
5200,0.6832579185520362,453,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-5200
5400,0.6802413273001509,451,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-5400
5600,0.6802413273001509,451,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-5600
5800,0.6892911010558069,457,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-5800
6000,0.6817496229260935,452,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6000
6200,0.6998491704374057,464,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6200
6400,0.6621417797888386,439,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6400
6600,0.669683257918552,444,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6600
6800,0.6968325791855203,462,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6800
7000,0.6802413273001509,451,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7000
7200,0.6772247360482655,449,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7200
7400,0.6832579185520362,453,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7400
7600,0.6862745098039216,455,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7600
7800,0.7013574660633484,465,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7800
8000,0.6817496229260935,452,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8000
8200,0.6832579185520362,453,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8200
8400,0.6953242835595776,461,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8400
8600,0.6892911010558069,457,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8600
8800,0.6802413273001509,451,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8800
9000,0.6892911010558069,457,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9000
9200,0.6862745098039216,455,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9200
9400,0.698340874811463,463,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9400
9600,0.6968325791855203,462,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9600
9800,0.6923076923076923,459,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9800
10000,0.6923076923076923,459,663,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-10000
