step,accuracy,correct,total,checkpoint
0,0.5128205128205128,340,663,checkpoints/rule_A_only/rule_A_only/checkpoint-0
100,0.5580693815987934,370,663,checkpoints/rule_A_only/rule_A_only/checkpoint-100
200,0.5912518853695324,392,663,checkpoints/rule_A_only/rule_A_only/checkpoint-200
300,0.6153846153846154,408,663,checkpoints/rule_A_only/rule_A_only/checkpoint-300
400,0.6123680241327301,406,663,checkpoints/rule_A_only/rule_A_only/checkpoint-400
500,0.6244343891402715,414,663,checkpoints/rule_A_only/rule_A_only/checkpoint-500
600,0.6304675716440422,418,663,checkpoints/rule_A_only/rule_A_only/checkpoint-600
700,0.6334841628959276,420,663,checkpoints/rule_A_only/rule_A_only/checkpoint-700
800,0.6349924585218703,421,663,checkpoints/rule_A_only/rule_A_only/checkpoint-800
900,0.6530920060331825,433,663,checkpoints/rule_A_only/rule_A_only/checkpoint-900
1000,0.6365007541478129,422,663,checkpoints/rule_A_only/rule_A_only/checkpoint-1000
1200,0.6365007541478129,422,663,checkpoints/rule_A_only/rule_A_only/checkpoint-1200
1400,0.6485671191553545,430,663,checkpoints/rule_A_only/rule_A_only/checkpoint-1400
1500,0.6289592760180995,417,663,checkpoints/rule_A_only/rule_A_only/checkpoint-1500
1600,0.6485671191553545,430,663,checkpoints/rule_A_only/rule_A_only/checkpoint-1600
1800,0.6365007541478129,422,663,checkpoints/rule_A_only/rule_A_only/checkpoint-1800
2000,0.6485671191553545,430,663,checkpoints/rule_A_only/rule_A_only/checkpoint-2000
2200,0.6530920060331825,433,663,checkpoints/rule_A_only/rule_A_only/checkpoint-2200
2400,0.6591251885369532,437,663,checkpoints/rule_A_only/rule_A_only/checkpoint-2400
2500,0.6591251885369532,437,663,checkpoints/rule_A_only/rule_A_only/checkpoint-2500
2600,0.6772247360482655,449,663,checkpoints/rule_A_only/rule_A_only/checkpoint-2600
2800,0.6711915535444947,445,663,checkpoints/rule_A_only/rule_A_only/checkpoint-2800
3000,0.6500754147812972,431,663,checkpoints/rule_A_only/rule_A_only/checkpoint-3000
3200,0.6877828054298643,456,663,checkpoints/rule_A_only/rule_A_only/checkpoint-3200
3400,0.6711915535444947,445,663,checkpoints/rule_A_only/rule_A_only/checkpoint-3400
3500,0.6561085972850679,435,663,checkpoints/rule_A_only/rule_A_only/checkpoint-3500
3600,0.6817496229260935,452,663,checkpoints/rule_A_only/rule_A_only/checkpoint-3600
3800,0.6907993966817496,458,663,checkpoints/rule_A_only/rule_A_only/checkpoint-3800
4000,0.6742081447963801,447,663,checkpoints/rule_A_only/rule_A_only/checkpoint-4000
4200,0.6757164404223228,448,663,checkpoints/rule_A_only/rule_A_only/checkpoint-4200
4400,0.6847662141779789,454,663,checkpoints/rule_A_only/rule_A_only/checkpoint-4400
4500,0.6832579185520362,453,663,checkpoints/rule_A_only/rule_A_only/checkpoint-4500
4600,0.6953242835595776,461,663,checkpoints/rule_A_only/rule_A_only/checkpoint-4600
4800,0.6636500754147813,440,663,checkpoints/rule_A_only/rule_A_only/checkpoint-4800
5000,0.6711915535444947,445,663,checkpoints/rule_A_only/rule_A_only/checkpoint-5000
5200,0.6726998491704375,446,663,checkpoints/rule_A_only/rule_A_only/checkpoint-5200
5400,0.6817496229260935,452,663,checkpoints/rule_A_only/rule_A_only/checkpoint-5400
5600,0.6711915535444947,445,663,checkpoints/rule_A_only/rule_A_only/checkpoint-5600
5800,0.6802413273001509,451,663,checkpoints/rule_A_only/rule_A_only/checkpoint-5800
6000,0.6953242835595776,461,663,checkpoints/rule_A_only/rule_A_only/checkpoint-6000
6200,0.6847662141779789,454,663,checkpoints/rule_A_only/rule_A_only/checkpoint-6200
6400,0.6862745098039216,455,663,checkpoints/rule_A_only/rule_A_only/checkpoint-6400
6600,0.7013574660633484,465,663,checkpoints/rule_A_only/rule_A_only/checkpoint-6600
6800,0.6666666666666666,442,663,checkpoints/rule_A_only/rule_A_only/checkpoint-6800
7000,0.6681749622926093,443,663,checkpoints/rule_A_only/rule_A_only/checkpoint-7000
7200,0.6877828054298643,456,663,checkpoints/rule_A_only/rule_A_only/checkpoint-7200
7400,0.6877828054298643,456,663,checkpoints/rule_A_only/rule_A_only/checkpoint-7400
7600,0.6681749622926093,443,663,checkpoints/rule_A_only/rule_A_only/checkpoint-7600
7800,0.6847662141779789,454,663,checkpoints/rule_A_only/rule_A_only/checkpoint-7800
8000,0.6711915535444947,445,663,checkpoints/rule_A_only/rule_A_only/checkpoint-8000
8200,0.6787330316742082,450,663,checkpoints/rule_A_only/rule_A_only/checkpoint-8200
8400,0.6817496229260935,452,663,checkpoints/rule_A_only/rule_A_only/checkpoint-8400
8600,0.6711915535444947,445,663,checkpoints/rule_A_only/rule_A_only/checkpoint-8600
8800,0.669683257918552,444,663,checkpoints/rule_A_only/rule_A_only/checkpoint-8800
9000,0.6772247360482655,449,663,checkpoints/rule_A_only/rule_A_only/checkpoint-9000
9200,0.6892911010558069,457,663,checkpoints/rule_A_only/rule_A_only/checkpoint-9200
9400,0.6923076923076923,459,663,checkpoints/rule_A_only/rule_A_only/checkpoint-9400
9600,0.6862745098039216,455,663,checkpoints/rule_A_only/rule_A_only/checkpoint-9600
9800,0.6847662141779789,454,663,checkpoints/rule_A_only/rule_A_only/checkpoint-9800
10000,0.6862745098039216,455,663,checkpoints/rule_A_only/rule_A_only/checkpoint-10000
