step,accuracy,correct,total,checkpoint
0,0.5143288084464555,341,663,checkpoints/rule_full/rule_full/checkpoint-0
100,0.526395173453997,349,663,checkpoints/rule_full/rule_full/checkpoint-100
200,0.555052790346908,368,663,checkpoints/rule_full/rule_full/checkpoint-200
300,0.5972850678733032,396,663,checkpoints/rule_full/rule_full/checkpoint-300
400,0.6078431372549019,403,663,checkpoints/rule_full/rule_full/checkpoint-400
500,0.6093514328808446,404,663,checkpoints/rule_full/rule_full/checkpoint-500
600,0.6123680241327301,406,663,checkpoints/rule_full/rule_full/checkpoint-600
700,0.6395173453996983,424,663,checkpoints/rule_full/rule_full/checkpoint-700
800,0.6259426847662142,415,663,checkpoints/rule_full/rule_full/checkpoint-800
900,0.6289592760180995,417,663,checkpoints/rule_full/rule_full/checkpoint-900
1000,0.6410256410256411,425,663,checkpoints/rule_full/rule_full/checkpoint-1000
1200,0.6349924585218703,421,663,checkpoints/rule_full/rule_full/checkpoint-1200
1400,0.6470588235294118,429,663,checkpoints/rule_full/rule_full/checkpoint-1400
1500,0.6576168929110106,436,663,checkpoints/rule_full/rule_full/checkpoint-1500
1600,0.6380090497737556,423,663,checkpoints/rule_full/rule_full/checkpoint-1600
1800,0.6621417797888386,439,663,checkpoints/rule_full/rule_full/checkpoint-1800
2000,0.6470588235294118,429,663,checkpoints/rule_full/rule_full/checkpoint-2000
2200,0.6319758672699849,419,663,checkpoints/rule_full/rule_full/checkpoint-2200
2400,0.6304675716440422,418,663,checkpoints/rule_full/rule_full/checkpoint-2400
2500,0.6410256410256411,425,663,checkpoints/rule_full/rule_full/checkpoint-2500
2600,0.6530920060331825,433,663,checkpoints/rule_full/rule_full/checkpoint-2600
2800,0.6425339366515838,426,663,checkpoints/rule_full/rule_full/checkpoint-2800
3000,0.6380090497737556,423,663,checkpoints/rule_full/rule_full/checkpoint-3000
3200,0.6425339366515838,426,663,checkpoints/rule_full/rule_full/checkpoint-3200
3400,0.6229260935143288,413,663,checkpoints/rule_full/rule_full/checkpoint-3400
3500,0.6244343891402715,414,663,checkpoints/rule_full/rule_full/checkpoint-3500
3600,0.6365007541478129,422,663,checkpoints/rule_full/rule_full/checkpoint-3600
3800,0.6410256410256411,425,663,checkpoints/rule_full/rule_full/checkpoint-3800
4000,0.6274509803921569,416,663,checkpoints/rule_full/rule_full/checkpoint-4000
4200,0.6168929110105581,409,663,checkpoints/rule_full/rule_full/checkpoint-4200
4400,0.6395173453996983,424,663,checkpoints/rule_full/rule_full/checkpoint-4400
4500,0.6063348416289592,402,663,checkpoints/rule_full/rule_full/checkpoint-4500
4600,0.6395173453996983,424,663,checkpoints/rule_full/rule_full/checkpoint-4600
4800,0.6365007541478129,422,663,checkpoints/rule_full/rule_full/checkpoint-4800
5000,0.6425339366515838,426,663,checkpoints/rule_full/rule_full/checkpoint-5000
5200,0.6289592760180995,417,663,checkpoints/rule_full/rule_full/checkpoint-5200
5400,0.6485671191553545,430,663,checkpoints/rule_full/rule_full/checkpoint-5400
5600,0.6380090497737556,423,663,checkpoints/rule_full/rule_full/checkpoint-5600
5800,0.6365007541478129,422,663,checkpoints/rule_full/rule_full/checkpoint-5800
6000,0.6349924585218703,421,663,checkpoints/rule_full/rule_full/checkpoint-6000
6200,0.6681749622926093,443,663,checkpoints/rule_full/rule_full/checkpoint-6200
6400,0.6440422322775264,427,663,checkpoints/rule_full/rule_full/checkpoint-6400
6600,0.6470588235294118,429,663,checkpoints/rule_full/rule_full/checkpoint-6600
6800,0.6244343891402715,414,663,checkpoints/rule_full/rule_full/checkpoint-6800
7000,0.6440422322775264,427,663,checkpoints/rule_full/rule_full/checkpoint-7000
7200,0.6395173453996983,424,663,checkpoints/rule_full/rule_full/checkpoint-7200
7400,0.6591251885369532,437,663,checkpoints/rule_full/rule_full/checkpoint-7400
7600,0.6530920060331825,433,663,checkpoints/rule_full/rule_full/checkpoint-7600
7800,0.6349924585218703,421,663,checkpoints/rule_full/rule_full/checkpoint-7800
8000,0.6289592760180995,417,663,checkpoints/rule_full/rule_full/checkpoint-8000
8200,0.6395173453996983,424,663,checkpoints/rule_full/rule_full/checkpoint-8200
8400,0.6289592760180995,417,663,checkpoints/rule_full/rule_full/checkpoint-8400
8600,0.6395173453996983,424,663,checkpoints/rule_full/rule_full/checkpoint-8600
8800,0.6410256410256411,425,663,checkpoints/rule_full/rule_full/checkpoint-8800
9000,0.6319758672699849,419,663,checkpoints/rule_full/rule_full/checkpoint-9000
9200,0.6334841628959276,420,663,checkpoints/rule_full/rule_full/checkpoint-9200
9400,0.6395173453996983,424,663,checkpoints/rule_full/rule_full/checkpoint-9400
9600,0.6349924585218703,421,663,checkpoints/rule_full/rule_full/checkpoint-9600
9800,0.6380090497737556,423,663,checkpoints/rule_full/rule_full/checkpoint-9800
10000,0.6380090497737556,423,663,checkpoints/rule_full/rule_full/checkpoint-10000
