step,accuracy,correct,total,checkpoint
0,0.886,886,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-0
100,1.0,1000,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-100
200,0.995,995,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-200
300,0.988,988,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-300
400,0.981,981,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-400
500,0.96,960,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-500
600,0.947,947,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-600
700,0.903,903,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-700
800,0.92,920,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-800
900,0.907,907,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-900
1000,0.86,860,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-1000
1200,0.812,812,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-1200
1400,0.72,720,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-1400
1500,0.719,719,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-1500
1600,0.575,575,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-1600
1800,0.602,602,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-1800
2000,0.516,516,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-2000
2200,0.521,521,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-2200
2400,0.394,394,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-2400
2500,0.422,422,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-2500
2600,0.411,411,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-2600
2800,0.426,426,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-2800
3000,0.315,315,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-3000
3200,0.421,421,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-3200
3400,0.306,306,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-3400
3500,0.315,315,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-3500
3600,0.304,304,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-3600
3800,0.312,312,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-3800
4000,0.28,280,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-4000
4200,0.351,351,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-4200
4400,0.261,261,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-4400
4500,0.301,301,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-4500
4600,0.293,293,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-4600
4800,0.344,344,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-4800
5000,0.259,259,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-5000
5200,0.255,255,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-5200
5400,0.221,221,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-5400
5600,0.213,213,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-5600
5800,0.258,258,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-5800
6000,0.267,267,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-6000
6200,0.206,206,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-6200
6400,0.198,198,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-6400
6600,0.236,236,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-6600
6800,0.242,242,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-6800
7000,0.244,244,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-7000
7200,0.193,193,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-7200
7400,0.193,193,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-7400
7600,0.233,233,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-7600
7800,0.21,210,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-7800
8000,0.229,229,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-8000
8200,0.184,184,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-8200
8400,0.206,206,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-8400
8600,0.237,237,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-8600
8800,0.209,209,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-8800
9000,0.197,197,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-9000
9200,0.191,191,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-9200
9400,0.193,193,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-9400
9600,0.22,220,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-9600
9800,0.205,205,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-9800
10000,0.197,197,1000,checkpoints/rule_A_only/rule_A_only/checkpoint-10000
