step,accuracy,correct,total,checkpoint
0,0.886,886,1000,checkpoints/rule_full/rule_full/checkpoint-0
100,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-100
200,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-200
300,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-300
400,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-400
500,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-500
600,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-600
700,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-700
800,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-800
900,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-900
1000,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-1000
1200,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-1200
1400,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-1400
1500,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-1500
1600,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-1600
1800,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-1800
2000,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-2000
2200,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-2200
2400,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-2400
2500,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-2500
2600,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-2600
2800,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-2800
3000,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-3000
3200,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-3200
3400,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-3400
3500,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-3500
3600,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-3600
3800,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-3800
4000,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-4000
4200,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-4200
4400,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-4400
4500,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-4500
4600,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-4600
4800,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-4800
5000,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-5000
5200,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-5200
5400,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-5400
5600,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-5600
5800,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-5800
6000,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-6000
6200,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-6200
6400,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-6400
6600,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-6600
6800,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-6800
7000,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-7000
7200,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-7200
7400,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-7400
7600,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-7600
7800,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-7800
8000,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-8000
8200,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-8200
8400,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-8400
8600,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-8600
8800,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-8800
9000,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-9000
9200,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-9200
9400,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-9400
9600,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-9600
9800,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-9800
10000,1.0,1000,1000,checkpoints/rule_full/rule_full/checkpoint-10000
