checkpoint,step,ppl,mean_nll,tokens
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-0,0,57939.76953125,10.967159533338533,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-100,100,1356.4935302734375,7.212658317423838,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-200,200,340.2708740234375,5.829742066935493,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-300,300,149.7272491455078,5.008815131887265,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-400,400,114.52593994140625,4.740801265459886,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-500,500,101.41937255859375,4.619264362431329,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-600,600,87.61204528808594,4.472918380058941,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-700,700,78.7830810546875,4.366698236948017,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-800,800,73.52352905273438,4.297605326788777,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-900,900,69.29411315917969,4.238360158553322,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1000,1000,66.68749237060547,4.200017282239716,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1200,1200,59.780391693115234,4.090677521636969,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1400,1400,52.01449203491211,3.951522359438268,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1500,1500,48.90255355834961,3.8898297527072323,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1600,1600,46.69377136230469,3.8436106596685042,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-1800,1800,42.54876708984375,3.7506507780387413,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2000,2000,40.374717712402344,3.6982037812794104,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2200,2200,38.00120162963867,3.6376177781496737,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2400,2400,36.09302520751953,3.586099651888101,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2500,2500,35.65627670288086,3.573925292301853,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2600,2600,34.3968620300293,3.5379652343930847,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-2800,2800,34.0501823425293,3.5278352562871715,225423
checkpoints/heuristic_A+P/heuristic_A+P/checkpoint-3000,3000,32.89262390136719,3.4932485427857736,225423
