checkpoint,step,ppl,mean_nll,tokens
checkpoints/rule_A+P/rule_A+P/checkpoint-0,0,60553.92578125,11.011290009826045,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-100,100,2595.27880859375,7.861449105303639,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-200,200,574.7078247070312,6.3538617541610565,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-300,300,235.48619079589844,5.4616521524727375,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-400,400,177.74684143066406,5.180360486459011,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-500,500,143.83201599121094,4.9686461190208115,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-600,600,127.4618911743164,4.847817430465104,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-700,700,113.88660430908203,4.735203340329157,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-800,800,106.27017211914062,4.665984661078332,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-900,900,101.00504302978516,4.6151707090905765,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-1000,1000,95.4503402709961,4.558606133094123,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-1200,1200,85.40415954589844,4.447395025626569,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-1400,1400,75.1895751953125,4.320012425704593,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-1500,1500,70.7614974975586,4.259314874382037,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-1600,1600,65.86180114746094,4.187558620790991,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-1800,1800,62.276084899902344,4.1315773620552925,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-2000,2000,56.829376220703125,4.040053567868008,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-2200,2200,54.5546760559082,3.9992033291987026,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-2400,2400,51.628047943115234,3.9440650524179954,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-2500,2500,50.20513916015625,3.9161174854695915,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-2600,2600,49.786277770996094,3.907739470236273,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-2800,2800,47.67500686645508,3.8644072645589103,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-3000,3000,45.80957794189453,3.824493145091745,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-3200,3200,45.37672805786133,3.814999339252187,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-3400,3400,43.296226501464844,3.7680654133637668,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-3500,3500,43.191444396972656,3.765642353281306,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-3600,3600,43.076839447021484,3.762985541032166,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-3800,3800,41.1465950012207,3.717141132652992,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-4000,4000,40.846435546875,3.709819537778513,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-4200,4200,40.561405181884766,3.7028168618433774,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-4400,4400,39.3653564453125,3.672886045079012,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-4500,4500,39.3499755859375,3.6724952631644836,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-4600,4600,39.796775817871094,3.6837859003233806,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-4800,4800,38.787506103515625,3.6580982341302786,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-5000,5000,38.66013717651367,3.6548091064278627,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-5200,5200,38.44195556640625,3.6491494906423108,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-5400,5400,37.840030670166016,3.6333674775383447,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-5600,5600,38.0161018371582,3.6380097052881735,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-5800,5800,37.24357223510742,3.6174792382741234,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-6000,6000,38.14113998413086,3.6412935527627694,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-6200,6200,37.17131805419922,3.6155375121254174,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-6400,6400,36.93193054199219,3.60907658167269,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-6600,6600,37.02669906616211,3.6116393722683453,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-6800,6800,36.93806076049805,3.60924252137823,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-7000,7000,36.877933502197266,3.6076134435023404,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-7200,7200,36.66061019897461,3.601703030353016,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-7400,7400,36.606346130371094,3.6002215735070493,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-7600,7600,36.75971603393555,3.6044024799016543,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-7800,7800,36.57044219970703,3.599240279602291,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-8000,8000,36.627098083496094,3.600788265568186,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-8200,8200,36.77857208251953,3.604915452543466,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-8400,8400,36.49299240112305,3.5971202038385934,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-8600,8600,36.43914031982422,3.595643620599661,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-8800,8800,36.47468185424805,3.596618421231907,212882
checkpoints/rule_A+P/rule_A+P/checkpoint-9000,9000,36.59729766845703,3.599974464859086,212882
