checkpoint,step,ppl,mean_nll,tokens
checkpoints/rule_A_only/rule_A_only/checkpoint-0,0,61792.42578125,11.031535810732537,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-100,100,3144.64208984375,8.053455576418393,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-200,200,694.3352661132812,6.542954951410518,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-300,300,276.881591796875,5.623589866862063,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-400,400,203.05580139160156,5.313480830740688,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-500,500,168.9014434814453,5.1293154447192055,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-600,600,147.00485229492188,4.99046585939223,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-700,700,131.6938934326172,4.880480152028741,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-800,800,125.1341323852539,4.82938630806107,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-900,900,116.61898803710938,4.758912312242627,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-1000,1000,110.5711669921875,4.705659521140927,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-1200,1200,98.3521957397461,4.58855484986095,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-1400,1400,88.99657440185547,4.488597655498809,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-1500,1500,83.56632232666016,4.425640762485896,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-1600,1600,78.5627212524414,4.3638973327213195,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-1800,1800,72.3430404663086,4.2814190958598255,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-2000,2000,66.48213195800781,4.196933426289066,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-2200,2200,62.771976470947266,4.139508896481567,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-2400,2400,59.60022735595703,4.087659262786973,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-2500,2500,58.58369827270508,4.07045655554948,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-2600,2600,57.933738708496094,4.059299769722273,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-2800,2800,54.592811584472656,3.9999023061315975,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-3000,3000,54.855926513671875,4.0047099639012504,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-3200,3200,51.2005729675293,3.9357508327434894,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-3400,3400,50.16743850708008,3.9153662249030483,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-3500,3500,48.72621154785156,3.886217205631991,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-3600,3600,49.40769577026367,3.900106191243865,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-3800,3800,47.968814849853516,3.8705511597827584,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-4000,4000,46.925411224365234,3.848559349326141,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-4200,4200,46.7164306640625,3.8440959284882266,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-4400,4400,45.81569290161133,3.8246266688449664,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-4500,4500,45.504112243652344,3.8178026739541164,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-4600,4600,44.66716384887695,3.7992386486716523,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-4800,4800,44.904510498046875,3.8045383124082,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-5000,5000,44.272491455078125,3.790363626879996,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-5200,5200,43.86923599243164,3.781213379865086,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-5400,5400,43.720924377441406,3.777826854723124,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-5600,5600,43.506446838378906,3.7729092291801996,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-5800,5800,43.7427978515625,3.7783269455149355,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-6000,6000,42.64952850341797,3.753016232089873,205351
checkpoints/rule_A_only/rule_A_only/checkpoint-6200,6200,42.851318359375,3.7577365432942966,205351
