checkpoint,step,ppl,mean_nll,tokens
checkpoints/rule_full/rule_full/checkpoint-0,0,55745.9609375,10.928559929185711,260243
checkpoints/rule_full/rule_full/checkpoint-100,100,666.653076171875,6.502269767404552,260243
checkpoints/rule_full/rule_full/checkpoint-200,200,184.51380920410156,5.217724305797825,260243
checkpoints/rule_full/rule_full/checkpoint-300,300,92.181884765625,4.523763647476815,260243
checkpoints/rule_full/rule_full/checkpoint-400,400,70.96369171142578,4.2621683799047325,260243
checkpoints/rule_full/rule_full/checkpoint-500,500,61.07875061035156,4.112163804059431,260243
checkpoints/rule_full/rule_full/checkpoint-600,600,55.032169342041016,4.0079176616165375,260243
checkpoints/rule_full/rule_full/checkpoint-700,700,51.183204650878906,3.9354113905071713,260243
checkpoints/rule_full/rule_full/checkpoint-800,800,48.344139099121094,3.878344954583001,260243
checkpoints/rule_full/rule_full/checkpoint-900,900,44.80206298828125,3.8022543107281517,260243
checkpoints/rule_full/rule_full/checkpoint-1000,1000,43.075904846191406,3.762963717154554,260243
checkpoints/rule_full/rule_full/checkpoint-1200,1200,38.20490264892578,3.642963913599927,260243
checkpoints/rule_full/rule_full/checkpoint-1400,1400,34.39979553222656,3.538050569076317,260243
checkpoints/rule_full/rule_full/checkpoint-1500,1500,32.66842269897461,3.4864089470564195,260243
checkpoints/rule_full/rule_full/checkpoint-1600,1600,30.587913513183594,3.420604887638805,260243
checkpoints/rule_full/rule_full/checkpoint-1800,1800,28.210439682006836,3.339692132877458,260243
checkpoints/rule_full/rule_full/checkpoint-2000,2000,27.68323516845703,3.320826893533602,260243
checkpoints/rule_full/rule_full/checkpoint-2200,2200,25.427263259887695,3.2358219920614357,260243
checkpoints/rule_full/rule_full/checkpoint-2400,2400,24.2949161529541,3.190267022840017,260243
checkpoints/rule_full/rule_full/checkpoint-2500,2500,23.567697525024414,3.159877005071469,260243
checkpoints/rule_full/rule_full/checkpoint-2600,2600,23.872514724731445,3.1727279010041487,260243
checkpoints/rule_full/rule_full/checkpoint-2800,2800,22.662067413330078,3.1206926104555137,260243
checkpoints/rule_full/rule_full/checkpoint-3000,3000,21.70613670349121,3.0775950679388577,260243
checkpoints/rule_full/rule_full/checkpoint-3200,3200,21.56050682067871,3.0708631491985203,260243
checkpoints/rule_full/rule_full/checkpoint-3400,3400,21.20903205871582,3.054427047446715,260243
checkpoints/rule_full/rule_full/checkpoint-3500,3500,20.992582321166992,3.0441692242398637,260243
checkpoints/rule_full/rule_full/checkpoint-3600,3600,20.6444149017334,3.027444724313229,260243
checkpoints/rule_full/rule_full/checkpoint-3800,3800,20.536027908325195,3.022180906934323,260243
checkpoints/rule_full/rule_full/checkpoint-4000,4000,20.029027938842773,2.9971826179513577,260243
