checkpoint,step,ppl,mean_nll,tokens
checkpoints/rule_none/rule_none/checkpoint-0,0,62681.65234375,11.045824159492659,197033
checkpoints/rule_none/rule_none/checkpoint-100,100,3896.71435546875,8.26788860026772,197033
checkpoints/rule_none/rule_none/checkpoint-200,200,833.3636474609375,6.725470061495986,197033
checkpoints/rule_none/rule_none/checkpoint-300,300,326.6478576660156,5.788882775144024,197033
checkpoints/rule_none/rule_none/checkpoint-400,400,237.74429321289062,5.47119590441152,197033
checkpoints/rule_none/rule_none/checkpoint-500,500,200.3897705078125,5.30026442198731,197033
checkpoints/rule_none/rule_none/checkpoint-600,600,171.60714721679688,5.145207711912088,197033
checkpoints/rule_none/rule_none/checkpoint-700,700,154.86273193359375,5.042539234928738,197033
checkpoints/rule_none/rule_none/checkpoint-800,800,142.08868408203125,4.9564513095493075,197033
checkpoints/rule_none/rule_none/checkpoint-900,900,134.64071655273438,4.902609877809908,197033
checkpoints/rule_none/rule_none/checkpoint-1000,1000,130.39761352539062,4.870588324872878,197033
checkpoints/rule_none/rule_none/checkpoint-1200,1200,112.81303405761719,4.72573181064831,197033
checkpoints/rule_none/rule_none/checkpoint-1400,1400,101.1678695678711,4.616781066301891,197033
checkpoints/rule_none/rule_none/checkpoint-1500,1500,95.99551391601562,4.564301481664195,197033
checkpoints/rule_none/rule_none/checkpoint-1600,1600,93.17115020751953,4.534438303674731,197033
checkpoints/rule_none/rule_none/checkpoint-1800,1800,83.50792694091797,4.424941660019172,197033
checkpoints/rule_none/rule_none/checkpoint-2000,2000,77.95197296142578,4.356092880590091,197033
checkpoints/rule_none/rule_none/checkpoint-2200,2200,72.01319122314453,4.2768494613999515,197033
checkpoints/rule_none/rule_none/checkpoint-2400,2400,67.45978546142578,4.211531527599324,197033
checkpoints/rule_none/rule_none/checkpoint-2500,2500,66.89712524414062,4.203156040873104,197033
checkpoints/rule_none/rule_none/checkpoint-2600,2600,65.61394500732422,4.183788327576694,197033
checkpoints/rule_none/rule_none/checkpoint-2800,2800,63.340728759765625,4.148528501061447,197033
checkpoints/rule_none/rule_none/checkpoint-3000,3000,60.509498596191406,4.10280022752027,197033
checkpoints/rule_none/rule_none/checkpoint-3200,3200,59.7146110534668,4.089576902366439,197033
checkpoints/rule_none/rule_none/checkpoint-3400,3400,56.890052795410156,4.041120738382319,197033
checkpoints/rule_none/rule_none/checkpoint-3500,3500,57.74754333496094,4.056080814846834,197033
checkpoints/rule_none/rule_none/checkpoint-3600,3600,56.342323303222656,4.0314459532193325,197033
checkpoints/rule_none/rule_none/checkpoint-3800,3800,55.3868293762207,4.014341945421504,197033
checkpoints/rule_none/rule_none/checkpoint-4000,4000,53.71440505981445,3.9836811581965677,197033
checkpoints/rule_none/rule_none/checkpoint-4200,4200,53.111968994140625,3.9724023763388177,197033
checkpoints/rule_none/rule_none/checkpoint-4400,4400,53.277530670166016,3.975514582350667,197033
checkpoints/rule_none/rule_none/checkpoint-4500,4500,52.179317474365234,3.9546860842552354,197033
checkpoints/rule_none/rule_none/checkpoint-4600,4600,51.929351806640625,3.9498841990844733,197033
checkpoints/rule_none/rule_none/checkpoint-4800,4800,52.7569694519043,3.965695799709962,197033
checkpoints/rule_none/rule_none/checkpoint-5000,5000,50.54135513305664,3.9227918628174696,197033
checkpoints/rule_none/rule_none/checkpoint-5200,5200,49.85551452636719,3.909129261933311,197033
checkpoints/rule_none/rule_none/checkpoint-5400,5400,50.474666595458984,3.921471711118855,197033
checkpoints/rule_none/rule_none/checkpoint-5600,5600,50.2558479309082,3.9171268213301236,197033
checkpoints/rule_none/rule_none/checkpoint-5800,5800,50.287166595458984,3.9177499885464893,197033
checkpoints/rule_none/rule_none/checkpoint-6000,6000,50.051788330078125,3.913058271802035,197033
checkpoints/rule_none/rule_none/checkpoint-6200,6200,49.46198272705078,3.9012042760596706,197033
checkpoints/rule_none/rule_none/checkpoint-6400,6400,49.701229095458984,3.906029733591904,197033
checkpoints/rule_none/rule_none/checkpoint-6600,6600,49.9108772277832,3.9102390398121654,197033
checkpoints/rule_none/rule_none/checkpoint-6800,6800,49.1083984375,3.894030177562617,197033
checkpoints/rule_none/rule_none/checkpoint-7000,7000,49.329917907714844,3.898530671977606,197033
checkpoints/rule_none/rule_none/checkpoint-7200,7200,49.32777404785156,3.8984874431182543,197033
checkpoints/rule_none/rule_none/checkpoint-7400,7400,49.328224182128906,3.898496379328733,197033
checkpoints/rule_none/rule_none/checkpoint-7600,7600,49.491981506347656,3.9018106566365427,197033
checkpoints/rule_none/rule_none/checkpoint-7800,7800,49.722503662109375,3.906457691809798,197033
checkpoints/rule_none/rule_none/checkpoint-8000,8000,49.161163330078125,3.895103980453443,197033
checkpoints/rule_none/rule_none/checkpoint-8200,8200,49.623626708984375,3.9044671619377027,197033
checkpoints/rule_none/rule_none/checkpoint-8400,8400,50.29890441894531,3.917983379777389,197033
checkpoints/rule_none/rule_none/checkpoint-8600,8600,49.34688949584961,3.898874697934305,197033
checkpoints/rule_none/rule_none/checkpoint-8800,8800,49.537452697753906,3.9027290226634115,197033
checkpoints/rule_none/rule_none/checkpoint-9000,9000,49.460731506347656,3.901179130557943,197033
checkpoints/rule_none/rule_none/checkpoint-9200,9200,49.17264938354492,3.8953376708946195,197033
checkpoints/rule_none/rule_none/checkpoint-9400,9400,49.580745697021484,3.90360261860074,197033
checkpoints/rule_none/rule_none/checkpoint-9600,9600,49.34138488769531,3.898763077145247,197033
checkpoints/rule_none/rule_none/checkpoint-9800,9800,49.429927825927734,3.900556004041404,197033
checkpoints/rule_none/rule_none/checkpoint-10000,10000,49.267364501953125,3.8972618444021947,197033
