checkpoint,step,ppl,mean_nll,tokens
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-0,0,61333.77734375,11.024086008533759,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-100,100,3994.947265625,8.292785280435247,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-200,200,978.1229248046875,6.885635487342613,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-300,300,414.5185546875,6.027117933554438,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-400,400,302.09716796875,5.710748678348061,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-500,500,245.62234497070312,5.503795088071818,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-600,600,213.43142700195312,5.36331569517412,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-700,700,190.70443725585938,5.25072486404049,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-800,800,172.39573669433594,5.1497925344216,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-900,900,162.1408233642578,5.088465178722245,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1000,1000,146.54615783691406,4.9873406008061,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1200,1200,134.7814483642578,4.90365436039315,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1400,1400,121.62260437011719,4.800922902239178,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1500,1500,112.46552276611328,4.72264693089498,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1600,1600,107.15238952636719,4.674252068197481,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1800,1800,93.60466003417969,4.5390801979217,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2000,2000,88.180419921875,4.479384975339778,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2200,2200,81.77547454833984,4.40397724992187,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2400,2400,76.95891571044922,4.343271744122835,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2500,2500,74.72901916503906,4.313868752901544,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2600,2600,73.007080078125,4.290556621496595,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2800,2800,68.67212677001953,4.229343618872472,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-3000,3000,68.22344970703125,4.222788547277495,321147
checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-3200,3200,63.31132125854492,4.148064183193177,321147
